var1,var2,r,abs_r,banda
pdp_papr_linear,pdp_los_ratio,1.0000000000000007,1.0000000000000007,r = ±1.00
mag_kurtosis,mag_excess_kurtosis,1.0000000000000002,1.0000000000000002,r = ±1.00
phase_unwrap_k_slope_rms,phase_jump_k_rms_abs,1.0,1.0,r = ±1.00
phase_unwrap_m_slope_rms,phase_jump_m_rms_abs,0.9999999999999999,0.9999999999999999,r = ±1.00
mag_energy_total,pdp_total_energy,0.9999999999999943,0.9999999999999943,r = ±1.00
phase_circular_variance,phase_coherence,-0.9999999999999926,0.9999999999999926,r = ±1.00
mag_entropy,mag_entropy_normalized,0.9999999999999829,0.9999999999999829,r = ±1.00
phase_unwrap_m_slope_var,phase_unwrap_k_slope_var,0.9999734472268724,0.9999734472268724,0.99 <= |r| < 1.00
phase_unwrap_k_slope_var,phase_jump_k_mean_abs,0.9999711221422417,0.9999711221422417,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,phase_jump_k_mean_abs,0.9999622302715678,0.9999622302715678,0.99 <= |r| < 1.00
phase_unwrap_k_slope_var,pdp_mean_delay,0.9999621203435561,0.9999621203435561,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,pdp_mean_delay,0.9999550154137815,0.9999550154137815,0.99 <= |r| < 1.00
phase_unwrap_k_mean,phase_unwrap_k_slope_mean,0.9999325114228937,0.9999325114228937,0.99 <= |r| < 1.00
pdp_mean_delay,svd_energy_ratio_mode1,-0.9999310503898312,0.9999310503898312,0.99 <= |r| < 1.00
phase_unwrap_k_slope_var,svd_energy_ratio_mode1,-0.9999265942072575,0.9999265942072575,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,svd_energy_ratio_mode1,-0.9999202516380652,0.9999202516380652,0.99 <= |r| < 1.00
mag_mean,mag_rms,0.9999160007211724,0.9999160007211724,0.99 <= |r| < 1.00
phase_jump_k_mean_abs,pdp_mean_delay,0.9999132445254332,0.9999132445254332,0.99 <= |r| < 1.00
phase_jump_k_mean_abs,svd_energy_ratio_mode1,-0.9998719184838899,0.9998719184838899,0.99 <= |r| < 1.00
phase_jump_k_rms_abs,pdp_mean_delay,0.9998661389859788,0.9998661389859788,0.99 <= |r| < 1.00
phase_unwrap_k_slope_rms,pdp_mean_delay,0.9998661389859788,0.9998661389859788,0.99 <= |r| < 1.00
phase_unwrap_k_slope_rms,phase_jump_k_var_abs,0.9998346187319948,0.9998346187319948,0.99 <= |r| < 1.00
phase_jump_k_var_abs,phase_jump_k_rms_abs,0.9998346187319948,0.9998346187319948,0.99 <= |r| < 1.00
phase_unwrap_k_slope_rms,svd_energy_ratio_mode1,-0.9998257349505303,0.9998257349505303,0.99 <= |r| < 1.00
phase_jump_k_rms_abs,svd_energy_ratio_mode1,-0.9998257349505298,0.9998257349505298,0.99 <= |r| < 1.00
phase_unwrap_k_slope_var,phase_jump_k_rms_abs,0.9998086644214357,0.9998086644214357,0.99 <= |r| < 1.00
phase_unwrap_k_slope_var,phase_unwrap_k_slope_rms,0.9998086644214356,0.9998086644214356,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,phase_jump_k_rms_abs,0.9997782340787961,0.9997782340787961,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,phase_unwrap_k_slope_rms,0.9997782340787961,0.9997782340787961,0.99 <= |r| < 1.00
phase_unwrap_k_slope_rms,phase_jump_m_var_abs,0.9997681577897314,0.9997681577897314,0.99 <= |r| < 1.00
phase_jump_m_var_abs,phase_jump_k_rms_abs,0.9997681577897314,0.9997681577897314,0.99 <= |r| < 1.00
phase_unwrap_k_var,phase_unwrap_k_slope_var,-0.9997522964869812,0.9997522964869812,0.99 <= |r| < 1.00
phase_jump_m_var_abs,phase_jump_k_var_abs,0.9997274956141529,0.9997274956141529,0.99 <= |r| < 1.00
phase_jump_m_mean_abs,phase_jump_k_var_abs,0.9997210400874332,0.9997210400874332,0.99 <= |r| < 1.00
phase_unwrap_k_var,phase_unwrap_k_slope_mean,-0.9997204402868681,0.9997204402868681,0.99 <= |r| < 1.00
phase_unwrap_k_var,phase_jump_k_mean_abs,-0.9997084163534716,0.9997084163534716,0.99 <= |r| < 1.00
mag_mean,mag_percentile_50,0.9996862339576358,0.9996862339576358,0.99 <= |r| < 1.00
mag_rms,mag_percentile_50,0.9996821599498794,0.9996821599498794,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,phase_unwrap_k_var,-0.999681238955446,0.999681238955446,0.99 <= |r| < 1.00
phase_unwrap_k_slope_rms,phase_jump_k_mean_abs,0.9996734501697249,0.9996734501697249,0.99 <= |r| < 1.00
phase_jump_k_mean_abs,phase_jump_k_rms_abs,0.9996734501697244,0.9996734501697244,0.99 <= |r| < 1.00
phase_unwrap_k_var,pdp_mean_delay,-0.9996673824317782,0.9996673824317782,0.99 <= |r| < 1.00
phase_unwrap_k_var,svd_energy_ratio_mode1,0.9996481005891692,0.9996481005891692,0.99 <= |r| < 1.00
phase_unwrap_k_mean,phase_unwrap_k_var,-0.9996268752242512,0.9996268752242512,0.99 <= |r| < 1.00
dH_dt_mean,doppler_variance_energy,0.9996059371389423,0.9996059371389423,0.99 <= |r| < 1.00
phase_unwrap_k_slope_mean,phase_jump_k_mean_abs,0.999515449761439,0.999515449761439,0.99 <= |r| < 1.00
phase_jump_m_var_abs,pdp_mean_delay,0.9995143208010999,0.9995143208010999,0.99 <= |r| < 1.00
phase_unwrap_k_slope_mean,phase_unwrap_k_slope_var,0.9994926936430086,0.9994926936430086,0.99 <= |r| < 1.00
phase_jump_k_var_abs,pdp_mean_delay,0.9994703473571579,0.9994703473571579,0.99 <= |r| < 1.00
phase_jump_m_var_abs,svd_energy_ratio_mode1,-0.9994631083139587,0.9994631083139587,0.99 <= |r| < 1.00
mag_percentile_95,mag_percentile_99,0.9994484873632552,0.9994484873632552,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,phase_jump_m_var_abs,0.9994460404874541,0.9994460404874541,0.99 <= |r| < 1.00
phase_jump_m_mean_abs,phase_jump_m_var_abs,0.9994311057062578,0.9994311057062578,0.99 <= |r| < 1.00
phase_jump_k_var_abs,svd_energy_ratio_mode1,-0.9994300173012274,0.9994300173012274,0.99 <= |r| < 1.00
phase_unwrap_k_mean,phase_jump_k_mean_abs,0.9994207396366115,0.9994207396366115,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,phase_unwrap_k_slope_mean,0.9994169382441221,0.9994169382441221,0.99 <= |r| < 1.00
phase_unwrap_k_slope_mean,pdp_mean_delay,0.9994161341899823,0.9994161341899823,0.99 <= |r| < 1.00
phase_unwrap_k_var,phase_jump_k_rms_abs,-0.9993924653439854,0.9993924653439854,0.99 <= |r| < 1.00
phase_unwrap_k_var,phase_unwrap_k_slope_rms,-0.9993924653439852,0.9993924653439852,0.99 <= |r| < 1.00
phase_unwrap_k_mean,phase_unwrap_k_slope_var,0.9993802436798924,0.9993802436798924,0.99 <= |r| < 1.00
phase_unwrap_k_slope_var,phase_jump_m_var_abs,0.9993743388264975,0.9993743388264975,0.99 <= |r| < 1.00
